,certificate,genre,gross,id,imdb_rating,metascore,runtime,title,votes,year
181,PG-13,"['Action', 'Mystery', 'Thriller']",36343858.0,tt1590193,6.3,56.0,105 min,The Commuter,79627.0,['2018']
182,R,"['Comedy', 'Romance']",990230.0,tt6957966,5.7,28.0,102 min,Little Italy,5038.0,['2018']
183,R,"['Drama', 'Fantasy', 'Horror']",,tt5085924,5.5,58.0,92 min,Wildling,7940.0,['2018']
184,,"['Action', 'Comedy', 'Romance']",,tt2316479,5.4,30.0,100 min,Blue Iguana,1197.0,['2018']
185,PG-13,"['Drama', 'Fantasy', 'Romance']",6102076.0,tt7026672,6.4,52.0,97 min,Every Day,12192.0,['2018']
186,,"['Drama', 'Mystery', 'Thriller']",,tt5952138,7.9,,90 min,We Have Always Lived in the Castle,79.0,['2018']
187,PG-13,"['Horror', 'Mystery', 'Thriller']",30569484.0,tt5690360,3.2,30.0,93 min,Slender Man,17470.0,['2018']
188,,"['Comedy', 'Drama']",,tt7738450,7.1,82.0,92 min,Thunder Road,6783.0,['2018']
189,PG-13,['Comedy'],77339130.0,tt6781982,5.6,43.0,111 min,Night School,20235.0,['2018']
190,PG-13,['Drama'],,tt3294746,6.4,,122 min,The Public,229.0,['2018']
191,PG,"['Animation', 'Adventure', 'Comedy']",83240103.0,tt6182908,6.7,60.0,96 min,Smallfoot,20860.0,['2018']
192,R,"['Biography', 'Drama', 'History']",2000105.0,tt7074886,6.2,61.0,113 min,The Front Runner,5063.0,['2018']
193,R,"['Drama', 'Horror', 'Mystery']",7732899.0,tt7153766,6.4,63.0,98 min,Unsane,30181.0,['2018']
194,R,"['Crime', 'Drama']",,tt5789976,5.5,47.0,108 min,King of Thieves,5895.0,['2018']
195,,"['Crime', 'Drama', 'Thriller']",,tt6768578,7.3,75.0,103 min,Dogman,11464.0,['2018']
196,PG-13,"['Biography', 'Drama', 'History']",17612099.0,tt5208252,6.5,58.0,122 min,Operation Finale,19228.0,['2018']
197,,"['Action', 'Thriller']",,tt6116856,7.0,69.0,121 min,The Night Comes for Us,13240.0,['2018']
198,,"['Action', 'Drama', 'War']",,tt6864046,7.1,88.0,116 min,Shadow,2087.0,['2018']
199,TV-MA,"['Action', 'Adventure', 'Drama']",,tt5246700,5.0,36.0,113 min,How It Ends,35002.0,['2018']
200,PG-13,"['Action', 'Adventure', 'Biography']",31445012.0,tt6306064,6.6,56.0,96 min,Adrift,31458.0,['2018']
201,R,"['Crime', 'Drama', 'History']",,tt7280898,6.7,69.0,143 min,22 July,18388.0,['2018']
202,,"['Action', 'Comedy', 'Horror']",,tt7260818,5.4,,84 min,Book of Monsters,341.0,['2018']
203,R,"['Crime', 'Drama', 'Mystery']",,tt6211976,6.5,64.0,91 min,A Vigilante,113.0,['2018']
204,Not Rated,"['Crime', 'Drama', 'Thriller']",,tt4463816,5.3,27.0,95 min,Terminal,13650.0,['2018']
205,R,"['Comedy', 'Crime', 'Drama']",4333394.0,tt7242142,7.4,77.0,95 min,Blindspotting,15077.0,['2018']
206,TV-14,"['Comedy', 'Fantasy', 'Romance']",,tt5783956,6.4,36.0,97 min,When We First Met,33529.0,['2018']
207,PG-13,"['Horror', 'Thriller']",40717020.0,tt6772950,5.1,35.0,100 min,Truth or Dare,31308.0,['2018']
208,TV-14,['Comedy'],17521754.0,tt7284204,5.3,45.0,95 min,Summer '03,1131.0,['2018']
209,,"['Action', 'Comedy']",,tt8055888,7.6,,134 min,Mard Ko Dard Nahin Hota,757.0,['2018']
210,TV-MA,"['Comedy', 'Drama']",,tt6676028,5.5,51.0,92 min,In a Relationship,1061.0,['2018']
211,Not Rated,"['Adventure', 'Drama', 'Sci-Fi']",,tt7042862,5.6,50.0,98 min,The Man Who Killed Hitler and Then The Bigfoot,3057.0,['2018']
212,TV-MA,"['Action', 'Comedy', 'Drama']",,tt3525168,6.3,38.0,90 min,Dead in a Week: Or Your Money Back,2288.0,['2018']
213,PG-13,"['Drama', 'Romance']",9561064.0,tt4799066,6.7,38.0,91 min,Midnight Sun,14973.0,['2018']
214,Not Rated,"['Action', 'Drama', 'War']",,tt7515456,5.9,,107 min,Mission of Honor,2071.0,['2018']
215,Unrated,"['Drama', 'Horror', 'Mystery']",8208.0,tt6269368,6.5,59.0,109 min,The Clovehitch Killer,7223.0,['2018']
216,TV-MA,"['Mystery', 'Sci-Fi', 'Thriller']",,tt1464763,5.4,35.0,126 min,Mute,24534.0,['2018']
217,PG-13,"['Drama', 'Horror', 'Mystery']",,tt2548396,5.6,37.0,102 min,The Cloverfield Paradox,80926.0,['2018']
